"question","dice","edice","accuracy","dice_lo","dice_hi","accuracy_lo","accuracy_hi","category","baserate","baserate_ai"
"adaptation_agriculture_resilience",0.571428571428571,0.126984126984127,0.866666666666667,0.507521422539696,0.627866184448463,0.848392857142857,0.884920634920635,"adaptation",0.0888888888888889,0.222222222222222
"adaptation_countries",0.428571428571429,0.126984126984127,0.822222222222222,0.363624738432923,0.485624288154897,0.80156746031746,0.843650793650794,"adaptation",0.0888888888888889,0.222222222222222
"adaptation_disaster_preparedness",0.307692307692308,0.0752136752136752,0.8,0.251331967213115,0.363192024777391,0.778571428571429,0.821448412698413,"adaptation",0.0444444444444444,0.244444444444444
"adaptation_ecosystem_restoration",0.777777777777778,0.197530864197531,0.911111111111111,0.737039094858067,0.813079454920176,0.895238095238095,0.926190476190476,"adaptation",0.177777777777778,0.222222222222222
"adaptation_human_migration",0.5,0.1,0.866666666666667,0.435818230277186,0.563696060037523,0.848412698412698,0.885714285714286,"adaptation",0.0666666666666667,0.2
"adaptation_infrastructure_resilience",0.666666666666667,0.22010582010582,0.844444444444444,0.624543483659007,0.711437204768219,0.826170634920635,0.864285714285714,"adaptation",0.177777777777778,0.288888888888889
"adaptation_public_health",0.222222222222222,0.0395061728395062,0.844444444444444,0.15832756916996,0.288975611929658,0.824603174603175,0.865079365079365,"adaptation",0.0222222222222222,0.177777777777778
"causes_affluent_footprint",0.571428571428571,0.142857142857143,0.866666666666667,0.511746311251442,0.629735057199832,0.847619047619048,0.886507936507936,"causes",0.111111111111111,0.2
"causes_agriculture",0.842105263157895,0.210526315789474,0.933333333333333,0.806507929682461,0.873494460957307,0.919047619047619,0.946031746031746,"causes",0.2,0.222222222222222
"causes_dev_countries_contrib",0.823529411764706,0.188235294117647,0.933333333333333,0.784140969162996,0.858948043184885,0.91984126984127,0.946825396825397,"causes",0.177777777777778,0.2
"causes_economic_system",0.666666666666667,0.118518518518519,0.911111111111111,0.60837169159954,0.72211956942616,0.895238095238095,0.926984126984127,"causes",0.0888888888888889,0.177777777777778
"causes_fossil_fuels",0.727272727272727,0.487878787878788,0.733333333333333,0.697710520638573,0.75465908113006,0.707936507936508,0.757936507936508,"causes",0.466666666666667,0.511111111111111
"causes_human",0.782608695652174,0.765217391304348,0.666666666666667,0.762928959627329,0.802025834439444,0.640456349206349,0.691289682539683,"causes",0.8,0.733333333333333
"causes_overconsumption",0.571428571428571,0.126984126984127,0.866666666666667,0.510866643291258,0.628181854831743,0.847619047619048,0.884920634920635,"causes",0.0888888888888889,0.222222222222222
"impact_adverse",0.851851851851852,0.586831275720165,0.822222222222222,0.832292858620704,0.87136486072356,0.801587301587302,0.844444444444444,"impact",0.511111111111111,0.688888888888889
"impact_biodiversity_loss",0.8,0.222222222222222,0.911111111111111,0.761356849208812,0.831951657951034,0.894444444444444,0.925396825396825,"impact",0.222222222222222,0.222222222222222
"impact_extreme_weather",0.95,0.443333333333333,0.955555555555556,0.936425357910459,0.962264546331588,0.943630952380952,0.966666666666667,"impact",0.466666666666667,0.422222222222222
"impact_food_water_security",0.869565217391304,0.255072463768116,0.933333333333333,0.842100884490761,0.897645829985538,0.920615079365079,0.947619047619048,"impact",0.244444444444444,0.266666666666667
"impact_migration",0.888888888888889,0.197530864197531,0.955555555555556,0.857767587933862,0.91617242623726,0.943650793650794,0.966666666666667,"impact",0.177777777777778,0.222222222222222
"impact_science_threat",0.933333333333333,0.165925925925926,0.977777777777778,0.907727623875095,0.956537267080745,0.96984126984127,0.984920634920635,"impact",0.155555555555556,0.177777777777778
"impact_sea_level_rise",0.928571428571429,0.311111111111111,0.955555555555556,0.909548619957537,0.945212858308592,0.944444444444444,0.965892857142857,"impact",0.311111111111111,0.311111111111111
"mitigation_carbon_tax",0.875,0.177777777777778,0.955555555555556,0.840958605664488,0.908200498602402,0.943650793650794,0.967460317460317,"mitigation",0.177777777777778,0.177777777777778
"mitigation_diets_livestock",0.933333333333333,0.165925925925926,0.977777777777778,0.906302465023318,0.958904109589041,0.969047619047619,0.985714285714286,"mitigation",0.155555555555556,0.177777777777778
"mitigation_electrification",0.857142857142857,0.152380952380952,0.955555555555556,0.818647233104455,0.892239847829598,0.943650793650794,0.966666666666667,"mitigation",0.133333333333333,0.177777777777778
"mitigation_net_zero",0.823529411764706,0.188235294117647,0.933333333333333,0.779952929183906,0.860174688199552,0.919047619047619,0.946825396825397,"mitigation",0.2,0.177777777777778
"mitigation_reduce_flying",0.769230769230769,0.136752136752137,0.933333333333333,0.721306857538675,0.814409489868966,0.919047619047619,0.946051587301587,"mitigation",0.111111111111111,0.177777777777778
"mitigation_reduction_fossil",0.875,0.525,0.866666666666667,0.855625904980466,0.893461451508419,0.848392857142857,0.884920634920635,"mitigation",0.466666666666667,0.6
"mitigation_renewable_energy",0.864864864864865,0.408408408408408,0.888888888888889,0.843073170731707,0.886891623441121,0.871428571428571,0.905555555555556,"mitigation",0.377777777777778,0.444444444444444
